processed_review,sentiment_score,sentiment_label
super cuter sneaker bought birthday present origin want use new jog shoe tongu shoe stiff though still happi shoe cuz super cute besid stiff tongu complaint seem tad larger size ten littl space like otherwis complet awesom,0.9403,1
cute small excit find shoe super cute small howev find larger size need tri realli stiff bit tight know mayb would stretch wore didnt fit disappoint cant find size need anywher keep look,0.8764,1
nice lightweight comfort shoe comfort lightweight shoe found pretti true size 10 shoe run differ review said ran small didnt find case bought 10d width wider width doesnt look odd fit shoe well foot,0.8898,1
total comfort two year ago bought exact shoe wore alway choos stylish athlet shoe origin bought famili go go ark kentucki knew would alot walkingther never time foot hurt wear shoe get compliment often cute look best shoe comfort style bought updat bought addit pair black,0.9522,1
pain child beauti shoe unpack put child directlyth child take 2 step begin cri bitterli immedi move shoe look what go onit realli big kink toddler shoe interior realli straightenedit regrett shoe discount sectori would realli expect,-0.5106,0
display realiz size one photo sole size 26the shoe sent size 19 answer question day ago size actuallyi,0.0,1
may work b width foot grandson couldnt even get tightli cut,-0.2732,0
fell apart one week lace broke slightli one week use horribl qualiti broke son complain uncomfort metal grommet side rub side foot,-0.7964,0
nice shoe nice pair shoe,0.6808,1
thank shoe cute ju fine want comment compani actual bought wed son wear werent go arriv time reach amazon luck final contact compani directli said didnt think could get time process work howev liter receiv next day whoever spoke thank obvious went way get pull ship cant thank enough made time wed gorgeousmi son kept shoe night wear want dress casual say comfi shoe lace long enough tie easili,0.9477,1
averag skate shoe theyr attract 8 year old ask skate shoe could pictur airwalk van cute dont fit wide foot well began search found skate shoe also ador good adida qualiti,0.8121,1
great shoe great price run big great look shoe great price got gray black stripe black white stripe look exactli like one got store 20 run big wear woman 7 shoe measur foot big kid adida size chart accord get 65 got 6 didnt size base review woman hope would work theyr big measur men 7 store wasnt much differ 6 7 measur men 65 store wouldv order 5 avail hard guess weird size situat hope put insol help want keep,0.979,1
son love shoe nice shoe got sale realli nice,0.8689,1
comfort style shoe fit expect bought seven year old son love comfort definit worth buy,0.9118,1
cute kid love good fit comfort,0.9337,1
comfort shoe fit well comfort,0.8225,1
stylish sturdi canva thick sole son like howev said heavi great shoe,0.765,1
awesom brought grandson im told fit perfectli love dont ever want take,0.7564,1
sensit surfac sensit look nice long like boy like romp outsid,0.7783,1
care get use platformit feel strongli effect run slowli thick bottom arch put foot forwardit first thick bottom think run consider run environmentif run usual may unstabl land falli fell hit face cheek bone hippo let get use care,0.7506,1
toe narrow 23 5 small ask replac,0.0,1
great shoe bad qualiti actual realli great comfort shoe superf dont know manufactur made sole cheapaft wear time white shoe cap went offshould nogo expens brand shoe,0.802,1
perfect schuch comfort perfect schucs,0.872,1
schmler fall beauti leather shoe howev significantli narroweractu son carri medium width narrow versionso unfortun shoe backveri unusu superfit,0.0,1
favorit shoeour daughter 20 happi put shoe also like walk around,0.3612,1
top best shoe superfit generalw alway satisfi person like shoe much,0.8176,1
great child shoe great high qualiti infancymi daughter leav fulli,0.8481,1
good comfort design child,0.6597,1
hard son get tight fit top part doesnt open made super hard son get shoe end return shoe puma make top part open possibl velcro close mayb zipper would awesom kid easili slide foot,0.0397,1
good qualiti product fit well may ideal child wide foot strap across top stretch thick stretch easili may make difficult wider foot get pas section entir shoe made well,0.8834,1
tight fit difficult put hard,-0.1027,0
son say awesom shoe mom say go size son love will doubl sock layer make fit would recommend go half size son 45 big kid size measur could easili fit long 4,0.8934,1
love grandson love puma,0.8555,1
great son love complain,0.7783,1
tighten top cute squeez top,0.6808,1
wrong shoe size came order size 11 kid size shoe receiv 10 tight child foot elast run across cant expand sorri everi purchas damn shoe,-0.7758,0
origin product origin product good qualityfair size fulfil expect,0.4404,1
good winter bootsmi 4yearold son love boot longer want wear shoesh sweat foot boot like shoesit run well cold foot even ici temperaturesin opinion boot good qualiti therefor littl difficultmi son doesnt bother allit come perfectli problemat bootsth highlight cours flashingi also buy boot next winter,0.9541,1
perfect somewhat wider child foot beck rubber boot accompani u year nowgreat fit especi foot cut littl widerclear purchas recommendationth light function walk highlight littl onessho keep foot nice warm autumn winterw alreadi use model second year,0.8807,1
super rubber boot bought rubber boot two childrenand extens test vacat beach puddlesth rubber boot pas test get 5 star correspond specifi size enough space even thick sock waterproof keep small foot warm dri nice design flash sole clearli visibl dark recommend boot,0.8779,1
robust warm winter rubber boot order rubber boot second time son grown firstth rubber boot robust surviv whole year kindergarten compar wellthey keep warm dryit true boot littl heavier rubber boot son didnt bother hinder runninga small point critic flash function given mind year even boot smell slightli chemistri still brand new,0.8532,1
beauti young boot rubber boot nice process son love themin addit good workmanship light effect appeal son easi seeth illumin effect remain even heavi pollut shoe clean well,0.9287,1
good winter rubber boot son satisfiedth boot well made keep foot nice dri winterthey fulli fed insid cozi synthet fur cover transpar rubber outsideth dinosaur skeleton pattern beauti perfect dino fansth heel flash walk advantag dark winterth boot bit bigmayb size order smalleral whole good winter rubber boot rel low price,0.9062,1
great dinofan son need new rubber boot found optic beauti order first fit order satisfi flash hold dri soil also bit fluffi insideand therefor littl warmer boot,0.8316,1
resist resist enter water raini day inform design good bring school uniform jean weekendperfect,0.4404,1
beauti boot quit heavi boot look nice flash light work perfectlyhowev boot quit heavi seem particularli good fitmi son made tri two good hold therefor couldnt walk comfort,0.7572,1
nice camper feel nice boot hope shoe lace would flexibl integr like camper shoe get regular lace dont get camper feel practic put quickli quit light plu,0.875,1
satisfi deliveri arriv quickli well packag shoe describ describ inform child happi satisfi price qualiti,0.2732,1
comfort suuuuper comfort shoe husband say run like cloud fit perfectli,0.8402,1
nice rain boot damag packag came saw damag qualiti send beauti understand could understand,0.4215,1
expect took half hour get shoe practic return item still wait refund,0.0,1
well made sandsthey well finish insol sued foot doesnt sweatoutsid fabric insid contact skin coat protect foot fit regular satisfi purchas,0.8074,1
good bought sandal 7 year old son must say like much fit exactli recommend number actual foot,0.8658,1
excel purchas nice resist shoemi son walk u run wellcomfort practic wearalso satisfi price,0.7003,1
excel excel product brand guarante cut faith centimet,0.7717,1
render dont like dont fit well chang number first twice larger one smaller one maleinsatto made,-0.2029,0
wait return feedback two week possibl return sandal larg goi request two week answer,0.0,1
excel sandal lumberjack precis size good qualiti excel sandal correspond descriptionth size preciseth deliveri bit delay poorli manag courier,0.765,1
excel qualiti comfort valu money expenditur contain good product,0.8126,1
buy coupl everi year use lot go vacat comfort walk kilomet,0.3612,1
sandal review excel purchasecomfort well structur sandalbeauti aesthet well open recommend 1 size,0.8271,1
asic evorid 2 excel train competit shoe light stabl,0.4588,1
beauti shoe qualiti hold foot well perfect amort jam jog recommend,0.6369,1
ran 18 kilomet three time le damag sole cushion properti good sole muchi feel le damag foot lightweight shoesit subtl weight 220 gram 26 cm want lighter shoe may want use rincon3 hochaononeth part close heel sole littl stuck third timey may expect durabilityit easi run shoe thumb gentli enter command go forward,0.3612,1
cospa goodit feel much lighter glide ride think feel move forward littl lesssinc use speed practic use train sub 4,0.0,1
excel comfort jog shoe walk recommend,0.7906,1
great shoe price shoe respons good would better longer shoe lace,0.872,1
run shoe love run shoe,0.6369,1
much smaller size say waaaay smaller size suppos becut shoe thoi bought 6 yr old fit 4 yr oldsoif order themget 2 size bigger usual would get,0.3612,1
shoe size daughter size 7 order size 9 still tight id say size 10 would fit perfectli super cute otherwis,0.8555,1
shoe run least 3 size small 4 star size issu true size run small return request 3 size bigger plea shoe cute person pic,0.7003,1
nice product decent holiday honestli look way better person look super cheap bowl detail decent,0.9062,1
ran small real cute ran small love look return,0.802,1
got wrong size small granddaught,-0.4767,0
run smaller qualiti good run smaller actual size,0.4404,1
run small cute run small return,0.4588,1
small poor qualiti price order size 6 look like size 3 small good qualiti,0.3182,1
run extrem small extrem small true size pretti good dont fit,0.5559,1
authent frye shoe comfort soft white leather true size authent product,0.6486,1
great comfi shoe well made amaz valu super soft leather incred comfort lightweight,0.9118,1
poor leather qualiti poor leather qualiti sneaker cute eleg sit closet past month dont see wear wore coupl week got soil shoe tri clean damp cloth alway soil leather shoe got discolor result even bigger initi spot noth done fix unfortun wast money,-0.128,0
super cute super fake leather insid realli smelli polyurethan smell got 2300 im keep wonder one review state didnt last,0.8271,1
great shoe tight shoe bit tight leather shoelac shed littl piec leather includ second pair cotton lace odd,0.4215,1
love super cute shoe leather lace ridicul shed everywher send regular lace chang,0.9022,1
gave terribl blister first day wore insol come good need put insol support foot dont like wear flat shoe put top shoe rub realli bad right foot larg toe joint good foot left foot major surgeri didnt issu still heal 2 bad blister right toe joint week ago,0.049,1
realli cute narrow great qualiti leather narrow fit length true size theyr new condit came tissu amazon box frye box lace seem realli long thick shoe overal theyr super cute great way dress sneaker,0.9753,1
beauti shoe terribl comfort bought shoe despit price tag 140 exactli style got inde love look howev first day wore shoe 2 hour got blister size quarter caus loo sleep two day pain shoe prici reason shouldnt built comfort least caus amount pain,0.3818,1
littl traction allow slipslid great fit sole total flat hard offer littl traction odd abl accident slide wear tenni shoe thick sued lace easi use,0.4019,1
wonder accuraci fit nice shoe afford price,0.6486,1
comfort odorless rubber boot conveni compar mani altern order close cut foot flexibl sole low smell recommend,0.2023,1
beauti girl boot boot good qualiti look pretti probabl also comfort daughter,0.6597,1
great boot beauti pattern daughter happi attract herhowev fail bit smaller,0.4767,1
sweet softli surpris sweet soft rubber boot,0.7184,1
fit quit well qualiti good expect would happi recommend,0.8402,1
beauti rubber boot daughter love rubber bootspriceperform ratio right,0.6369,1
positivepric perform okay,0.2263,1
fit size nice comfort,0.7783,1
good fit great fit,0.9001,1
great new great shoe kid pink actual nicer real life photo,0.9022,1
shoe either defect counterfeit bought june 15 shoe either defect counterfeit juli 21 return window close 7 day agoand unfortun tenni shoe creat hole toe wore approxim one hour per day everi day throughout month ive bought new balanc even style year never happen within first month theyr either defect case id like manufactur seller return replac new pair theyr counterfeit made well im hope amazon seller get touch rectifi situat thank,0.5423,1
great shoe son flatfoot overpron problem shoe help stabil plu realli rough shoe hold ok time grow pretti demolish last long enough u,0.743,1
wore quickli shoe wore quickli fewer 3 month big hole sole separ shoe bought new balanc local nb store last 7 month disappoint,-0.4019,0
final comfort shoe 11 year old wide foot kid wide foot size alway difficult fit true size xw order 4 pair nb differ model xw far say best cushion support wish color,0.9313,1
walk cloud bought 9yo size 7 came saw great deal got 18 mistak daughter love say never want take comfort mom feel like im walk cloud,0.858,1
buy risk 2two month left right sole split apart never purchas model nb never issu model buy risk recommend shoe kiddo,-0.1779,0
dont last purchas daughter june time school start august hole keep mind daughter wear flip flop summer tenni shoe worth money le two month wear,-0.128,0
love love loveeee bought pair daili walk run 55 big kid im size 7 woman ive yet experi pain foot need pair shoe support flat foot definit job arch wonder foot shoe light theyr breathabl super bright ive gotten mani compliment plan purchas anoth pair run,0.9565,1
long last shoe great pronat good look shoe previou pair shoe last almost year boy realli rough shoe run littl larg great kid tend walk insid foot nice color combin,0.9313,1
clark shoe never let comfort perfect fit bought colour half price colour option want shoe outsid work colour le concern like colour wear shoe much expect excel valu,0.4926,1
l v e e im pretti sure wet floor im wear therer light strong im quit sure im pretti sure wet floor theyr stabl put weight simpli dont want know without doubt dont want get insur involv,0.871,1
comfort wonder husband excel,0.6705,1
five star comfort color accur,0.3612,1
true fit love noth bad say,0.7184,1
five star comfi expect size,0.0,1
attract nice color,0.6486,1
super cute pretti comfi super cute casual sneaker pretti comfi person would prefer bit arch support still comfi casual wear look cute short jean casual dress love littl gold detail like eyelet end shoe string,0.9828,1
terribl shoe easili worst shoe ive ever own love print uncomfort pad bottom back shoe back shoe pinch heel buy gel insert put back shoe dont help hope problem would get better broken ive worn almost daili 2 week buy anoth pair ked,-0.5727,0
cute stiff cute return way stiff would caus blister heel sure red mark tri super bum cute,0.9349,1
love love shoe comfort,0.8979,1
comfort trendi cute,0.6705,1
go ahead purchasethey worth beauti comfort pair shoe absolut ob,0.5267,1
cute horribl uncomfi cute horribl uncomfort strang size narrow toe area long stiff rub heel return,0.7184,1
beauti shoe love ked one favorit shoe especi luv cheetah print also favorit,0.6369,1
great shoe perfect fit look great comfort,0.9509,1
chic satisfi shoe simpli chic flower color anyway process alway okay far first shoe brand point deduct avail size want someth longer longerhold actual took number larger soon small like buy shoe inexpens good,0.8779,1
except qualitypric ratio purchas offer 1050 product excel qualitypric ratio well finish fit well anatom girl find comfortablei found better famou brand usual flatten footb howev follow well,0.9136,1
lico sneaker prefer 2 number biggeri order shoe brand daughter physic educationsh like much comfortableactu daughter degre 3031the last shoe 31 small heri order 32 u 33 take inner sole see 33 right conclus lico alway order 2 number larger long child still grow,0.4767,1
sole dissolv child wear sport shoe lica year priceperform ratio alway convinc usin last coupl unfortun short wear time sole foot dissolv becom stumbl block,-0.4404,0
daughter 6 marvel shoe worn immediatelyfit perfectli comfortableand look great,0.6908,1
loo sole 2 month use pretti appear sole come loo 2 month recommend,0.3612,1
big far order recommend 12 number smaller,0.4215,1
good shoe comfort durableveri good 4 year old daughter use school gymnast year trot still perfecti like brand repeat,0.8689,1
shoe satisfi,0.0,1
poor qualiti coupl month tip shoe alreadi detach month look unfortun,-0.4767,0
almost 5 star great minu fact tongu sewn insid shoemayb thing cleat first experi make littl difficult get upsid doesnt come easi either unti otherwis 5star would given,0.323,1
small fix open open shoe fix doesnt stretch open small unless extrem petit ankl foot area nearli imposs put 9 year old petit couldnt even get tri second pair size larger dishearten consid adida cleat normal goto,-0.4588,0
daughter love daughter love fit great look great daughter 12,0.9643,1
perfect shoe fit perfect break though overal great fit great look,0.9666,1
comfort blister,0.3612,1
great fit wear size 9 12 fit perfect,0.9153,1
small return item small want return pair fit comfort two bloodi blister,0.6486,1
great danc wife recent use everi day cruis found excel danc pretti good look,0.875,1
excel valu first pair order larg fit perfectli normal take 11 12 11 larg 10 fit nice nice sandal reason price fast ship order noon thursday arriv friday wow,0.9468,1
insol uncomfort tri bought differ type insol ridg one side feel uncomfortableth differ one bought next denverhay quad comfort feel amaz,0.3612,1
great father day gift ye husband thrill new sandal fit good happi colour choic,0.9313,1
comfort gift dad felt goodcomfort fresh,0.7717,1
littl big beautifuli ask boyfriend 7 mexico ask accord convers bit big noth serioush tell comfort show templat materialthey pretti bought good price hot,0.6597,1
perfect size perfect exact size comfort would buy,0.872,1
order wish someon would make leather order wish someon would make leather would given 5 star leather upper,0.6597,1
qualiti qualiti good,0.4404,1
foam soft bit biggerth foam sunk foot feel bottomdu bit over walk area near toe cap rub toe,0.0,1
excel qualiti product excel qualiti amblio rememb use without sock recommend order smaller size,0.598,1
adida run shoe purchas found narrow foot gift daughter whose foot skinnier lolgreat price nice look sneaker,0.6908,1
recommend perfect size size 5 ask 8 perfect,0.872,1
light comfort light ideal run gener exercisingalthough simpl comfort beautifuli size 25 mx ask u 8 good,0.8834,1
good qualitya expect brand seem excel qualityw need see long term perform,0.7096,1
product wore 7 week use product wore 7 week use sole upper mesh athlet long 10k walk 5 time week,0.0,1
comfort modern comfort exercis daili outfit,0.6124,1
nice shoe fit perfect look great,0.9201,1
total disappoint buy softino shoe year aesthet beauti well care detail import ultra refinementa glovesand often also find good offersbut disasterjust happen buyer sole liter detach upperand cant even return use coursei hope someon least read review,0.8126,1
thank thank,0.6124,1
sole loosen ultra light pleasantli load bear shoeunfortun sole dissolv wear 2ndqualiti poor,-0.4767,0
comfort super comfort remain like glove exact size love,0.9393,1
perfect everyday wear read mani review bought sinc mani peopl said run big last pair adida cloudfoam pretti big went half size usual wear 85 order 8 littl tight first coupl time wore would advis order regular size luckili theyv stretch bit foot fit perfectli wear thin sock shoe super light weight ive use gym run errand thing dont like bottom shoe smooth id scare wear raini day,0.6994,1
bad product per month damag good qualiti,-0.1531,0
made well kid play hard nice tough shoe play hard grandson wear school uniform he hard shoe hold nice,0.8316,1
five star great shoe school,0.6249,1
nara sneaker great footb,0.6249,1
fast deliveri fast deliveri good packag desir articl,0.4404,1
everyth super comfort shoe nice color,0.8481,1
great color shoe denim burgundi pink mint green red love,0.8519,1
shoe start wear top 5 outing court need replac shoe start tear see 5 outing courtthi need replac,0.2023,1
way narrow nice shoe good bottom support way way narrow pinch toe small narrow childlik foot still way narrow accur size,0.8126,1
nice look shoe comfort shoe nice quit comfort usual wear 10 fit small reorder 105 love skecher slip shoe,0.946,1
made last month poor qualiti hole worn toe area within month moder indoor use poor qualiti happi shoe happen see imag ill never buy skecher,-0.8807,0
thumb love shoe lightweight comfort good wide foot otherwis true size,0.9081,1
light comfort shoe perfect fittingveri light weight comfort highli recommend,0.8807,1
way small size way small size 7,0.0,1
great light weight shoe im happi fit comfort shoe,0.8442,1
beauti comfort love way fit comfort work,0.8934,1
sever foot pain pain wear shoe sever foot pain near ankl wear shoe sure defect product window return close couldnt exchang wast,-0.875,0
run small size seem bit odd fit compar sketcher ok get use back bit low,0.0772,1
usual secur buy shoe perfect comfortablecomfort comfort,0.7351,1
super comfort shoe color bit love shoe super comfort problem color kid taupey grey littl cloth color would great true dark charcoal grey otherwis straight black alway work sadli color option,0.9735,1
upper flexibl way narrow plu upper flexibl,0.0,1
disappoint larg number expectedi base tabl size stay bigth opposit part wide tooand color like one photo,0.0258,1
comfort beauti twice ask model one cancel order reimburs fastth second time sent wrong number stay rel model like comfort recommend ask le number fit come wide,0.7906,1
excel tenni qualiti good excel pricein particular love color use run light comfort,0.9393,1
fan price attract like finish form seem tamalth color ugli remark qualityi would pay 500 peso,0.7096,1
tenni advic friend ask tenni brandsh said come small sizeso request 2 larger numbersfor stayi return,0.4939,1
good buy somehow think shoe look wider pictur colour true pictur shoe sole thick imagin sale price got realli complain much,0.4939,1
come bigger tenni suuuper well qualiti product howev return deriv person larg despit size come larger wide mode peopl wide foot eye eyeif go buy keep mind come larger size buy,0.2732,1
comfort excel like alreadi place imagesup comfort ped 7 wide templat use perfecti love new balanc never mold shoestenni first feel comfort,0.9451,1
recommend footwear daughter first new balanc regret bought sinc discount footwear comfort light aesthet one hundr would buy,0.296,1
like price excel feel light comfort part front seem sued synthet materi,0.7906,1
comfort drum new shoe specif bought thin sole use drum comfort alway enjoy adida shoe use drum look great importantli appropri thinsol drum would recommend,0.93,1
id recommend good,0.6597,1
weat 11 usual shoe 10 weat 11 usual shoe 105 next time think ill go 10 id say orear 5 smaller adida shoe 1 smaller brand shoe shoe confi tho seem durabl,-0.4215,0
five star awesom,0.0,1
great shoe gym great shoe gym skip order half size bigger like recommend work perfect wouldnt run nice flat work great squat deadlift,0.9621,1
love good valu money,0.7964,1
four star qualiti look good howev small size return vendor,0.4404,1
four star great fit feel would recommend shoe,0.8442,1
five star realli good pair wrestl boot would recommend starter,0.6597,1
five star great shoe bit narrow,0.6249,1
cool gear good shoe,0.6369,1
look nice brought work boot like height heel return refund,0.6486,1
littl larg good boot littl larger expect order littl big think actual size would small return littl smaller size,0.4404,1
yeee haaa thank ya kindli sir,0.3612,1
perfecto 2nd pair love love love bless,0.9565,1
qualiti design exchang quick profit sorri got ta move new brand ive buy dan post albuquerqu boot sever year great obvious chang manufactur much lower qualiti usual plan buy pair everi year use boot pretti hard garag weld fabric far albuquerqu taken beat grace soon open box new pair immedi notic differ qualiti includ pictur old boot compar new one heal use layer leather layer sole materi rubber plastic polyblablabla whatev tack place provid sturdi support new boot chunk foam like garbag pair cheap garbag boot one could buy walmart compens color look like layer leather tri didnt feel sturdi support come count replac feel cheap low qualiti design compromis exchang quick profit histori plantar fasciitu cant take chanc wear low qualiti footwear sorri dan post got ta move,0.946,1
realli comfort boot bought apprehens spine issu spinal implant devic pain wellington cowboy type boot guy decad stop wear high heel caus lower back pain thought id tri dan post due review ive alway justin boot guy first justin boot 1987 sent back pair wear 5 hour due pain stitch pop left boot justin issu reason receiv dan post today immedi put wow comfort cowboy boot ive ever put foot went walmart walk 2 hour zero back pain non broken cowboy boot that unheard your boot person know im talk discomfort expect new boot flat kind wide foot wear 13 tenni shoe order 12 ew lot cheaper fit fine fact could worn 11 12 mayb cobbler stretch need im happi snag dan post boot im amaz comfort level type boot cant imagin insan comfort blayd storm tide would extra cushion put insol due right boot miss one didnt matter qualiti comfort bootsemp fide,-0.5226,0
super nice heel fit weird comfort cushi foot toe box narrow first use cedar shoe tree make room toe open toe area better fit wear woman 85 men size 7 fit well w ad 34 insert fill space heel add support would great winter sturdi rubber sole tread warm line heel place odd angl kept rock back heel put tabl saw heel sit flush flat surfac caus front part heel dig bottom foot wear constantli rock back heelsi think defect return read review make cheaper brush sued type leather past made smooth leather boot longer oili brown describ reddish brown sued notic boot sued leather wrinkl quickli tri nut one way fix appli mink oil red wing leather cream smooth nap smooth leather finish sued boot manufactur swap nappi brush leather sued real smooth leather mani boot bc must cheaper sad bc smooth leather look better wear longer,0.9712,1
updat comfi get read review buy guy note difficulti get heal boot result fabric bottom shaft top heal cup tore dan post appar fix problem buy ad leather reenforc first put left one went fine right one good deal difficulti get heal past leather patch heal cup gotten progress wors get right one matter hard tri perhap boot horn would help butanyway great boot get comfort sure pointso contact amazon return origin pair sent new pair entir differ boot least 12 small much narrow especi view form bottom sole 12 narrow dan post tag differ color green yellow oppos black gold origin heal seem higher leather inferior weird call dan post said alway make design chang look like im go get money back bad,0.9042,1
your consid boot buy ive own 10 pair dan post boot ye im big fan enjoy wear westernstyl cloth boot im also truck driver biker boot fit bill right box look great comfort wear 12d order 12d fit spot problem heel arch toe theyr list waterproof havent put test yet theyr heavi thought theyd nice boot easi get use look great gave good treatment leather honey condit leather give extra protect great boot issu theyr dan post bootsgreat boot great qualiti great look titl review your consid boot buy great around boot lastli ive read review mention theyr made china ye unfortun mine say realli sad,0.9906,1
best pair boot ive ever own seam plastic pipe weak point ive own boot two year worn nearli everi day mud motorcycl snow rain boot done ive ask fact theyr still go cant stand wear theyr incred comfort get better look beat get like much bought new pair replac side seam pipe start blow sole heal readi hit leather would resol seam come apart given 4 star seam pipe fact bought anoth ident pair tell 4 star great rate meth time dont wear boot im workingout im hike otherwis wear everywher busi travel work fieldprosth fit dead 9dcomfort excellentwaterproof excellentdur excellentlook excellentcon plastic pipe seam come apart rest boot worn that weak point think pipe caus failur,0.6369,1
beauti beautifulmi daughter like lotthey come larger alway buy le size brandi recommend,0.6124,1
trash box shoe super cute box came trash wouldnt say beat transit either disappoint gift,0.7964,1
need wear sock stink cute shoe start stink wear sock wear disappoint,-0.6249,0
nice shoe unfortun much big went back corpor back name good process,0.6908,1
super light comfortablei like wear roll soft shoe gabor never disappoint,0.8252,1
fast deliveri great good fit expect,0.8591,1
beauti shoe fit perfectli,0.3612,1
coincid real announc object like speed deliveri,0.3612,1
love shoe look great foot realli nice shoe withstood whole summer without look beat lol,0.8679,1
super cute zipper aw shoe fit daughter hope super cute howev zipper back unbeliev hard zip unzip would much rather bought shoe put take without need assist,0.9571,1
cute good qualiti sandal ador fit expect probabl best shoe wider foot though theyr pretti skinni work fine step daughter back littl hard zip im sure itll easier time definit would buy,0.9524,1
sweet shoe bought 4 year old absolut love wear everi chanc get dont show lot wear tear look great short skirtdress,0.9062,1
ador fashion well craft,0.2732,1
wide zipper jam good struggl zip thing upthey much wider anticipatedmeh,0.4404,1
attract shoe great valu money cutest shoe ever exactli describ cuter person fit accord size,0.9451,1
worth ir came box kmart realli nice super cute well packag tri yet love,0.9509,1
great purchas love slipperi accident order wrong sizeim far return,0.4767,1
great buy great buy,0.8481,1
super happi purchas shoe packag like cost 100 can love reusabl bag bracelet thank card nice highli recommend,0.9545,1
wont order thought would love didnt open right away day ago find fit half size big feel like theyr wide width notic eyelet left shoe dont line tie made feel weird dont usual complain price much receiv,0.8628,1
